ID,Start time,Completion time,Email,Name,[Dye-127-1] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the information is retained after removing the tiling artefa...,[Brain-1838-1] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the information is retained after removing the tiling art...,[Polymer-23-1] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the information is retained after removing the tiling art...,[Capacitor-35-1] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the information is retained after removing the tiling a...,[Dye-127-2] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the tiling artefacts are reduced (best at the top and worst ...,[Brain-1838-2] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the tiling artefacts are reduced (best at the top and wor...,[Polymer-23-2] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the tiling artefacts are reduced (best at the top and wor...,[Capacitor-35-2] The original data and the output of the tiling artefact removal methods are shown below. Please rank the images on how well the tiling artefacts are reduced (best at the top and w...,"From a scale of 1 to 10, how familiar are you with this type of data? Use 1 star for low and 10 stars for high familiarity. 

"
1,5/5/23 17:45:56,5/5/23 17:57:07,anonymous,,A;D;E;F;B;G;C;,B;E;D;C;G;A;F;,C;D;E;F;G;B;A;,G;E;A;B;C;D;F;,A;G;E;B;C;D;F;,F;E;G;B;A;C;D;,G;D;A;C;B;E;F;,A;C;G;F;B;E;D;,10
2,5/8/23 14:24:47,5/8/23 14:39:56,anonymous,,G;D;E;B;C;F;A;,E;B;G;C;D;F;A;,E;C;D;F;G;A;B;,E;A;C;F;G;D;B;,A;E;G;D;B;C;F;,E;C;B;A;D;F;G;,D;A;C;B;F;G;E;,D;G;F;E;B;A;C;,10
3,5/9/23 11:25:18,5/9/23 11:34:13,anonymous,,D;E;C;G;B;A;F;,C;B;E;G;D;F;A;,F;G;C;D;A;E;B;,A;C;B;E;F;D;G;,A;E;C;D;F;G;B;,C;B;A;D;F;E;G;,E;F;G;B;C;A;D;,D;F;G;B;E;A;C;,3
4,5/11/23 18:20:55,5/11/23 18:27:18,anonymous,,B;E;D;A;C;F;G;,G;C;B;E;A;D;F;,A;C;E;B;D;F;G;,A;C;F;B;D;E;G;,C;E;F;A;D;B;G;,C;A;B;D;E;F;G;,D;F;A;B;C;E;G;,B;E;G;A;C;D;F;,1
5,5/11/23 20:04:32,5/11/23 20:41:52,anonymous,,B;D;G;E;F;C;A;,B;E;C;D;G;F;A;,D;C;E;A;F;G;B;,C;A;G;E;F;B;D;,A;E;G;B;D;F;C;,E;C;F;B;D;A;G;,A;D;G;C;F;B;E;,A;C;F;E;B;D;G;,1
6,5/12/23 16:07:36,5/12/23 16:17:45,anonymous,,D;G;B;E;C;F;A;,C;G;B;E;D;F;A;,F;G;C;E;D;A;B;,F;A;C;G;E;B;D;,B;C;D;F;G;E;A;,E;C;G;F;B;D;A;,F;D;C;A;G;B;E;,F;B;C;A;E;D;G;,3
7,5/15/23 10:15:40,5/15/23 10:44:39,anonymous,,B;A;F;E;C;D;G;,D;G;B;C;E;F;A;,B;D;E;A;C;G;F;,G;C;B;A;E;F;D;,A;G;E;F;C;B;D;,A;B;F;D;C;E;G;,G;F;D;C;B;E;A;,G;F;A;C;B;D;E;,5
8,5/15/23 9:47:38,5/15/23 11:18:22,anonymous,,B;A;F;E;G;D;C;,G;C;B;E;A;D;F;,E;A;D;C;B;G;F;,B;C;F;G;D;E;A;,E;A;B;C;D;G;F;,C;D;F;B;A;E;G;,B;D;C;F;G;E;A;,F;C;A;D;B;E;G;,5
9,5/15/23 11:12:09,5/15/23 11:20:43,anonymous,,G;B;D;E;F;A;C;,C;E;G;B;A;D;F;,D;E;C;A;F;G;B;,A;C;E;G;F;B;D;,E;A;G;C;B;D;F;,F;G;B;C;E;A;D;,D;C;G;A;F;B;E;,F;A;B;D;G;C;E;,2
10,5/15/23 11:09:08,5/15/23 11:27:04,anonymous,,F;B;C;D;A;E;G;,D;G;B;E;C;F;A;,E;A;D;C;G;F;B;,A;C;E;F;G;D;B;,A;E;C;B;D;F;G;,C;A;B;D;E;F;G;,D;G;C;A;B;F;E;,B;D;E;F;G;A;C;,1
11,5/15/23 10:51:29,5/15/23 11:38:59,anonymous,,F;B;E;G;D;C;A;,C;B;G;E;D;F;A;,C;F;D;E;A;G;B;,G;D;E;B;A;C;F;,A;E;B;D;F;C;G;,F;B;A;D;C;E;G;,D;A;G;C;F;B;E;,F;E;G;A;B;C;D;,8
