filename,IRT_ROC,Average_ROC,Greedy_ROC,GreedyMean_ROC,ICWA_ROC,Max_ROC,Thres_ROC,,IRT_PR,Average_PR,Greedy_PR,GreedyMean_PR,ICWA_PR,Max_PR,Thres_PR,,N,d
annthyroid,0.752676986,0.684349324,0.614883795,0.662004663,0.679722556,0.614203073,0.685374535,,0.204080009,0.164044259,0.11166709,0.141653157,0.15754889,0.106966652,0.156641995,,7200,6
cardio,0.735196375,0.712218484,0.522641445,0.672390827,0.672500687,0.566805136,0.72647281,,0.299195186,0.264183792,0.126573457,0.259467335,0.225033759,0.134681276,0.249603024,,1831,21
glass,0.816260163,0.73604336,0.803252033,0.764769648,0.721409214,0.850677507,0.731707317,,0.109842362,0.101914278,0.160793018,0.108652622,0.175567201,0.135913781,0.181628473,,214,9
letter,0.9182,0.88466,0.69494,0.882426667,0.79042,0.699813333,0.86186,,0.413263374,0.406741413,0.141374843,0.404246196,0.287635955,0.175231925,0.350374533,,1600,32
lympho,0.981220657,0.978873239,0.866197183,0.977699531,0.95657277,0.875586854,0.980046948,,0.72877617,0.666202354,0.149716087,0.654446027,0.550292941,0.205668234,0.649371719,,148,18
mammography,0.623625556,0.766529257,0.608461892,0.626025107,0.626087061,0.627840779,0.747174579,,0.067832363,0.16917346,0.067627,0.078197173,0.12553091,0.078673466,0.151983886,,11183,6
mnist,0.777850417,0.71880404,0.780383477,0.754023302,0.600352228,0.636710023,0.722965791,,0.311980758,0.226451942,0.305337464,0.292799496,0.148590191,0.200621351,0.213653479,,7603,100
optdigits,0.477312804,0.561501513,0.527473352,0.525749441,0.572371365,0.551309383,0.542993815,,0.027776659,0.035739672,0.032337011,0.031666346,0.039790878,0.045205041,0.034053539,,5216,64
satimage-2,0.850984834,0.875018429,0.865501804,0.871072211,0.808687084,0.651484623,0.854540361,,0.237066816,0.224669129,0.419865041,0.342911379,0.247843565,0.105258844,0.191513428,,5803,36
KDDCup(smtp),0.894197102,0.745065951,0.82067191,0.851526533,0.734239782,0.673192488,0.752022641,,0.309128937,0.237086331,0.240618019,0.507589676,0.196183952,0.000897111,0.216052946,,95156,3
speech,0.506281622,0.594905151,0.65080057,0.6337557,0.551724814,0.500298775,0.602332894,,0.023674718,0.05812263,0.093896367,0.070331393,0.065293026,0.017909571,0.06469482,,3686,400
thyroid,0.944220048,0.877935264,0.684897889,0.775949964,0.823792388,0.704579531,0.87038941,,0.2337691,0.176270061,0.05326115,0.112964261,0.144398256,0.062532438,0.158372121,,3772,6
vowels,0.986472262,0.952290185,0.966842105,0.961806543,0.940697013,0.900455192,0.936429587,,0.705786889,0.466352253,0.48601322,0.495030137,0.407479709,0.264387978,0.397044115,,1456,12
wbc,0.928371349,0.886087768,0.921435241,0.921702014,0.819927971,0.908496732,0.880352141,,0.365080121,0.237504924,0.369693353,0.349379602,0.201163837,0.315932907,0.227077104,,378,30
wine,0.465546218,0.491596639,0.548739496,0.474789916,0.557142857,0.532773109,0.520168067,,0.066306708,0.06889576,0.107502171,0.066509193,0.090012238,0.080581441,0.072968561,,129,13
